,tickers,Time of Creation,prediction,count
2575,TSLA,2021-06-23,1,1
2593,TSLA,2021-07-08,1,1
2613,TSLA,2021-07-30,1,1
2615,TSLA,2021-08-01,1,1
2616,TSLA,2021-08-11,1,1
2617,TSLA,2021-09-04,1,1
2618,TSLA,2021-09-19,1,1
2619,TSLA,2021-10-17,1,1
2620,TSLA,2021-10-21,1,1
2550,TSLA,2021-10-25,1,2
2621,TSLA,2021-10-27,1,1
2622,TSLA,2021-10-30,1,1
2623,TSLA,2021-10-31,1,1
2530,TSLA,2021-11-01,1,3
2624,TSLA,2021-11-03,1,1
2625,TSLA,2021-11-07,1,1
2554,TSLA,2021-12-07,1,2
2626,TSLA,2021-12-09,1,1
2627,TSLA,2021-12-26,1,1
2628,TSLA,2021-12-28,1,1
2553,TSLA,2022-01-15,1,2
2629,TSLA,2022-01-22,1,1
2614,TSLA,2022-01-26,1,1
2612,TSLA,2022-02-23,1,1
2595,TSLA,2022-02-28,1,1
2552,TSLA,2022-03-21,1,2
2611,TSLA,2022-03-27,1,1
2596,TSLA,2022-04-03,1,1
2597,TSLA,2022-04-07,1,1
2598,TSLA,2022-04-14,1,1
2599,TSLA,2022-04-22,1,1
2600,TSLA,2022-04-25,1,1
2601,TSLA,2022-04-26,1,1
2602,TSLA,2022-05-09,1,1
2603,TSLA,2022-05-18,1,1
2604,TSLA,2022-06-10,1,1
2556,TSLA,2022-06-29,1,2
2605,TSLA,2022-07-07,1,1
2606,TSLA,2022-07-08,1,1
2607,TSLA,2022-07-18,1,1
2608,TSLA,2022-08-05,1,1
2609,TSLA,2022-08-12,1,1
2610,TSLA,2022-08-25,1,1
2697,TSLA,2022-09-30,1,1
2528,TSLA,2022-10-02,1,4
2698,TSLA,2022-10-03,1,1
2699,TSLA,2022-10-07,1,1
2700,TSLA,2022-10-08,1,1
2701,TSLA,2022-10-19,1,1
2702,TSLA,2022-11-04,1,1
2703,TSM,2019-12-11,1,1
2704,TSM,2020-02-19,1,1
2705,TSM,2021-02-03,1,1
2706,TSM,2021-02-15,1,1
2707,TSP,2021-01-28,1,1
2709,TTCF,2021-06-15,1,2
2710,TTCF,2021-07-10,1,1
2708,TTCF,2021-09-02,1,3
2711,TTM,2021-03-13,1,1
2712,TU,2020-12-05,1,2
2713,TURN,2021-01-25,1,1
2714,TWLO,2020-05-06,1,1
2715,TWLO,2020-05-22,1,1
2716,TWLO,2020-06-30,1,1
2718,TWNK,2021-02-01,1,1
2719,TWNK,2021-06-08,1,1
2717,TWNK,2022-05-15,1,1
2720,TWO,2021-01-22,1,1
2721,TY,2021-02-01,1,1
2722,UAVS,2021-01-27,1,1
2723,UBER,2020-04-03,1,1
2724,UBER,2020-04-24,1,1
2725,UBER,2020-12-13,1,1
2726,UBER,2022-01-23,1,1
2727,UBS,2019-01-23,1,1
2728,UBS,2021-08-06,1,1
2729,UBS,2021-11-22,1,1
2730,UHAL,2022-08-14,1,1
2731,UL,2021-02-14,1,1
2732,ULTA,2019-11-12,1,1
2733,ULTA,2022-06-20,1,1
2734,UNFI,2020-06-08,1,1
2735,UNFI,2021-03-03,1,1
2736,UNH,2019-12-16,1,1
2737,UNM,2020-11-15,1,1
2738,UPS,2020-09-29,1,1
2739,UPST,2021-08-10,1,1
2740,UPST,2021-08-11,1,1
2741,UPST,2021-08-24,1,1
2742,UPST,2021-10-17,1,1
2743,USB,2021-09-29,1,1
2778,UWMC,2021-02-11,1,1
2779,UWMC,2021-02-20,1,1
2751,UWMC,2021-03-02,1,4
2744,UWMC,2021-03-03,1,10
2746,UWMC,2021-03-04,1,6
2757,UWMC,2021-03-08,1,2
2749,UWMC,2021-03-09,1,5
2780,UWMC,2021-03-10,1,1
2750,UWMC,2021-03-11,1,4
2781,UWMC,2021-03-14,1,1
2777,UWMC,2021-03-15,1,1
2760,UWMC,2021-03-16,1,2
2782,UWMC,2021-03-17,1,1
2784,UWMC,2021-04-01,1,1
2785,UWMC,2021-04-15,1,1
2786,UWMC,2021-04-20,1,1
2758,UWMC,2021-04-21,1,2
2761,UWMC,2021-05-10,1,2
2755,UWMC,2021-05-12,1,3
2759,UWMC,2021-05-13,1,2
2787,UWMC,2021-05-14,1,1
2788,UWMC,2021-05-16,1,1
2748,UWMC,2021-05-17,1,5
2789,UWMC,2021-05-18,1,1
2783,UWMC,2021-05-19,1,1
2776,UWMC,2021-05-21,1,1
2762,UWMC,2021-05-22,1,2
2775,UWMC,2021-05-27,1,1
2763,UWMC,2021-06-08,1,2
2745,UWMC,2021-06-09,1,8
2747,UWMC,2021-06-10,1,6
2774,UWMC,2021-06-11,1,1
2754,UWMC,2021-06-12,1,3
2756,UWMC,2021-06-14,1,2
2753,UWMC,2021-06-15,1,3
2764,UWMC,2021-06-16,1,1
2752,UWMC,2021-06-17,1,3
2765,UWMC,2021-06-18,1,1
2766,UWMC,2021-06-22,1,1
2767,UWMC,2021-06-23,1,1
2768,UWMC,2021-06-24,1,1
2769,UWMC,2021-07-06,1,1
2770,UWMC,2021-07-22,1,1
2771,UWMC,2021-08-15,1,1
2772,UWMC,2021-10-14,1,1
2773,UWMC,2021-12-13,1,1
2790,UXIN,2020-06-10,1,1
2791,V,2020-01-15,1,2
2792,V,2020-02-18,1,1
2793,V,2020-03-08,1,1
2794,V,2021-02-01,1,1
2795,V,2021-10-26,1,1
2799,VALE,2020-09-18,1,1
2798,VALE,2020-09-20,1,1
2797,VALE,2020-12-16,1,2
2796,VALE,2021-01-07,1,2
2800,VC,2021-02-02,1,1
2801,VFF,2021-02-10,1,1
2802,VIRT,2020-03-09,1,5
2803,VLDR,2020-12-21,1,1
2804,VLTA,2021-09-17,1,1
2805,VS,2021-01-11,1,1
2806,VSCO,2022-08-27,1,2
2807,VSTO,2021-02-08,1,1
2808,VXRT,2021-01-27,1,1
2809,VZIO,2021-05-10,1,1
2810,WBA,2021-07-11,1,2
2811,WDAY,2020-05-23,1,1
2813,WELL,2021-01-11,1,1
2812,WELL,2021-05-05,1,2
2814,WELL,2021-06-12,1,1
2815,WELL,2021-06-14,1,1
2816,WELL,2021-06-15,1,1
2817,WEN,2019-05-06,1,1
2818,WEN,2020-04-21,1,1
2819,WEN,2021-06-06,1,1
2820,WEN,2021-06-13,1,1
2823,WFC,2020-07-07,1,1
2822,WFC,2020-08-12,1,1
2821,WFC,2020-09-11,1,1
2863,WISH,2021-04-21,1,1
2824,WISH,2021-06-08,1,17
2826,WISH,2021-06-09,1,13
2829,WISH,2021-06-10,1,10
2830,WISH,2021-06-11,1,9
2847,WISH,2021-06-13,1,2
2828,WISH,2021-06-14,1,10
2825,WISH,2021-06-15,1,16
2836,WISH,2021-06-16,1,6
2842,WISH,2021-06-17,1,3
2838,WISH,2021-06-18,1,3
2839,WISH,2021-06-19,1,3
2848,WISH,2021-06-20,1,1
2827,WISH,2021-06-21,1,11
2831,WISH,2021-06-22,1,9
2835,WISH,2021-06-23,1,6
2832,WISH,2021-06-24,1,8
2834,WISH,2021-06-25,1,6
2849,WISH,2021-06-26,1,1
2850,WISH,2021-06-27,1,1
2833,WISH,2021-06-28,1,6
2840,WISH,2021-06-29,1,3
2837,WISH,2021-06-30,1,4
2844,WISH,2021-07-01,1,2
2841,WISH,2021-07-02,1,3
2851,WISH,2021-07-05,1,1
2852,WISH,2021-07-09,1,1
2845,WISH,2021-07-15,1,2
2853,WISH,2021-07-19,1,1
2854,WISH,2021-07-23,1,1
2843,WISH,2021-07-28,1,3
2855,WISH,2021-07-29,1,1
2856,WISH,2021-08-12,1,1
2857,WISH,2021-08-13,1,1
2846,WISH,2021-08-28,1,2
2858,WISH,2021-08-31,1,1
2859,WISH,2021-09-01,1,1
2860,WISH,2021-09-05,1,1
2861,WISH,2021-09-06,1,1
2862,WISH,2021-09-23,1,1
2865,WISH,2021-09-27,1,1
2864,WISH,2021-10-03,1,1
2866,WISH,2021-10-04,1,1
2867,WISH,2021-10-20,1,1
2868,WISH,2021-11-10,1,1
2869,WISH,2021-11-12,1,1
2870,WISH,2022-01-05,1,1
2871,WISH,2022-02-02,1,1
2872,WISH,2022-04-02,1,1
2884,WKHS,2021-06-03,1,1
2875,WKHS,2021-06-04,1,4
2885,WKHS,2021-06-06,1,1
2886,WKHS,2021-06-07,1,1
2876,WKHS,2021-06-08,1,3
2873,WKHS,2021-06-09,1,8
2874,WKHS,2021-06-10,1,6
2883,WKHS,2021-06-11,1,2
2887,WKHS,2021-06-13,1,1
2888,WKHS,2021-06-14,1,1
2882,WKHS,2021-06-15,1,2
2889,WKHS,2021-06-16,1,1
2881,WKHS,2021-06-18,1,2
2890,WKHS,2021-06-22,1,1
2880,WKHS,2021-06-23,1,2
2891,WKHS,2021-06-25,1,1
2878,WKHS,2021-06-28,1,2
2879,WKHS,2021-06-29,1,2
2877,WKHS,2021-06-30,1,2
2892,WKHS,2021-07-15,1,1
2895,WMT,2020-07-14,1,1
2894,WMT,2020-07-19,1,1
2893,WMT,2021-01-01,1,1
2896,WOOF,2021-01-27,1,1
2898,WOOF,2021-06-14,1,1
2897,WOOF,2021-11-12,1,1
2899,WTI,2020-04-01,1,1
2900,WTI,2021-02-21,1,1
2901,WY,2021-05-09,1,1
2902,WYNN,2020-02-09,1,1
2903,XOM,2021-01-14,1,1
2904,XXII,2021-11-24,1,1
2905,ZH,2020-03-12,1,1
2907,ZIM,2021-11-22,1,2
2908,ZIM,2021-12-07,1,1
2906,ZIM,2022-03-18,1,2
2909,ZM,2020-06-03,1,1
2910,ZM,2020-06-04,1,1
2911,ZM,2020-07-16,1,1
2912,ZM,2020-09-01,1,1
2913,ZM,2020-09-23,1,1
2914,ZOM,2021-02-16,1,1
2915,ZS,2020-05-25,1,1
